REPORTING_PERIOD_START,MEASURE_VALUE
01/01/2026,8762960.4
01/02/2025,4131119.359634
01/02/2026,8381413.6
01/03/2025,4100494.7674000002
01/04/2025,11568077.568837
01/05/2025,11752665.205864001
01/06/2025,11490965.493501
01/07/2025,13525304.09727
01/08/2025,11560497.687095
01/09/2025,12757660.08164
01/10/2025,13428766.12026
01/11/2025,12623704.822456
01/12/2025,12482406.54451
