REPORTING_PERIOD_START,MEASURE_VALUE
01/01/2026,332407.0
01/02/2026,317996.0
01/04/2025,291288.0
01/05/2025,282782.0
01/06/2025,267851.0
01/07/2025,335689.0
01/08/2025,331583.0
01/09/2025,330904.0
01/10/2025,331455.0
01/11/2025,332359.0
01/12/2025,326569.0
